island,대분류,중분류,소분류,Question,Answer
낭도,자연환경,생태계,식물상,낭도에는 어떤 식물들이 주로 서식해? 대표적인 식물 군락이 있어?,"낭도의 주요 식생 중 상록넓은잎나무는 돈나무, 사스레피나무, 후박나무, 송악이 우점종이다. 갈잎넓은잎나무는 병꽃나무, 멀구슬나무, 소사나무, 붉나무가 우점종이다. 소나무 같은 상록바늘잎나무는 곰솔과 노간주나무가 우점종함. 대표적으로 주변 섬들에 비해 상산을 중심으로 곰솔 군락 비중이 큼"
낭도,자연환경,생태계,동물상,낭도에서 볼 수 있는 동물에는 무엇이 있어?,"낭도는 도룡뇽, 청개구리, 두꺼 등 양서류와 도마뱀, 누룩뱀, 쇠살모사 등 파충류, 메뚜기 나비 등 곤충류, 왜가리 조롱이, 까치 등 조류, 고라니 고양이, 멧돼지 등 포유류가 서식함"
낭도,자연환경,생태계,해양 생물,낭도 주변 바다의 해양 생태계는 어때? 어떤 어종이 주로 잡혀?,"멸치, 밴댕이, 대하, 병어, 장어, 도미, 쏨벵이 등이 주로 잡힘"
낭도,자연환경,생태계,생태계 특징,낭도의 생태계가 다른 섬과 구별되는 특별한 점이 있다면 알려줘.,인근 섬과 비슷함
낭도,인문·사회 환경,인구 및 마을,인구 수,현재 낭도에는 몇 명 정도 살고 있어?,2020년 현재 297명의 사람이 살고 있음
낭도,인문·사회 환경,인구 및 마을,마을 정보,낭도에 있는 주요 마을 이름과 그 유래를 알려줘.,"여산마을은 낭도에서 가장 큰 마을로 섬의 모든 산이 아름답고 수려하다고 하여 '아름다울 려’자와 ‘뫼 산'자를 씀. 임진왜란 때 성명미상의 강릉유씨(江陵劉氏)가 처음 입도하여 정착하였다고 한다. 그 후 경주이씨(慶州李氏), 전의이씨(全義李氏), 김해김씨(金海金氏), 진주강씨(晉州姜氏), 경주최씨(慶州崔氏), 경주정씨(慶州鄭氏), 밀양박씨(密陽朴氏), 인동장씨(仁同張氏) 등이 차례로 입도하여 마을을 형성하였다고 전한다.
규포마을은 마을 앞 갯가의 모양이 마치 도장처럼 생겼다고 하여 도장개로 불렸으며, 한자로 ‘도장 규(閨)’자와 ‘물가 포(浦)’자를 써서 규포마을이라 부름 . 구전에 의하면 김녕김씨(金寧金氏)가 고흥군에서 건너와 처음 정착하였고, 그 후 경주정씨(慶州鄭氏), 김해김씨(金海金氏), 진주강씨(晉州姜氏) 등이 입도하여 마을을 형성하였다고 한다."
낭도,인문·사회 환경,인구 및 마을,인구 구성,"낭도의 인구 구성(연령, 성별)은 어때?",2020년 현재 남자가 137명 여자가 160명으로 여자가 조금 더 많음
낭도,인문·사회 환경,주요 산업 및 경제,주요 생업,낭도 주민들은 주로 어떤 일을 하면서 살아?,"예전에는 주로 농업과 어업을 겸하고 있었으나, 연도교 개통 후 펜션과 식당 등 관광업소가 점차 늘어나고 있음"
낭도,인문·사회 환경,주요 산업 및 경제,주요 산업,"낭도의 주된 산업은 어업이야, 아니면 농업이야?",고령화로 텃밭에서 농사를 짓는 사람이 더 많아짐
낭도,인문·사회 환경,주요 산업 및 경제,특산물,낭도에서 나는 대표적인 특산물은 뭐야?,30~40년 전만 해도 보리와 고구마를 많이 재배했으나 최근에는 마늘을 주로 재배함
낭도,인문·사회 환경,공공 및 편의시설,주요 시설,낭도 안에 학교나 병원이 있어?,과거에는 여산초등학교와 낭도중학교가 있었으나 학생수 감소로 2012년(초등학교)과 2013년(중학교)에 각각 폐교됨. 병원은 없고 낭도보건진료소가 여산마을에 있음
낭도,인문·사회 환경,공공 및 편의시설,공공기관,"마을회관, 파출소 같은 공공시설은 어디에 위치해?","여산마을과 규포마을에 각각 마을회관이 있으며, 낭도출장소와 치안센터, 농협 지점 등 공공시설은 주로 여산마을에 위치해 있음 "
낭도,역사와 문화,역사적 연혁,역사,낭도의 역사에 대해 시대순으로 설명해 줘.,"삼국시대의 낭도는 백제에 편입되어 삽평군 예하의 돌산현에 속하였다가 5세기 중반에 대가야에 일시적으로 편입되었는데 이때는 하다리현에 속하였다. 통일신라시대에는 여산현에 속하였고, 고려시대에는 돌산현에 속하였다. 조선시대에는 순천부 소라포면에 속하였으나 실제로는 돌산포만호진의 통제하에 있다가 1896년 돌산군이 설치되어 옥정면에 속하였다. 1914년 돌산군이 폐군되고 여수군으로 통합되면서 화정면 소속이 되었다. 1949년 여수군이 여수시로 승격되면서 여수군 화정면에 속하였다가 1998년 3여 통합으로 여수시 화정면에 속한다. "
낭도,역사와 문화,역사적 연혁,문헌 기록,옛날 문헌이나 지도에 낭도에 대한 기록이 남아있어?,"낭도는 세종실록에 1442년(세종 24) 8월 24일 “전라 관찰사가 치보하기를 …  19일에는 왜인 38인이 4척의 배에 나누어 타고 개도로부터 나와서 이로도(낭도)로 향하는 것을 여도 천호 최완이 뒤쫓아가서 사로잡았습니다.”고 하는 기록이 나온다. 한편, 1678년 허목 목장지도에 낭도, 1789년 호구총수, 1861년 대동여지도, 호남연해형편도 등에는 낭도(狼島)라고 나오고, 1872년 순천부지도에는 일리도(日利島) 라고 나온다. "
낭도,역사와 문화,유적 및 유물,대표 문화유산,낭도의 가장 대표적인 문화유산은 뭐야?,낭도 공룡발자국 화석산지
낭도,역사와 문화,유적 및 유물,공룡발자국,낭도 공룡발자국 화석에 대해 자세히 설명해 줘.,"낭도에서 발견된 공룡발자국은 962점으며, 종류도 다양해 앞발을 들고 뒷발만으로 걷는 조각류, 육식공룡인 수각류, 목이 긴 초식공룡인 용각류 등의 발자국이 발견되었고, 이 중에서 조각류 발자국이 많이 나타남.  특히 이어진 발자국들, 즉 보(步)행렬의 화석이 "
낭도,역사와 문화,유적 및 유물,지정 문화재,낭도에 국가지정문화재나 도지정문화재가 있어?,국가지정 유산 중에서 여수 낭도리 공룡발자국 화석산지가 천연기념물로 지정됨
낭도,역사와 문화,대표 인물 및 설화,관련 인물,낭도와 관련된 역사적 인물이 있어?,1791년 9월 낭도출신으로 정암회라는 사람이 배를 타고 다니며 장사를 하다가 경상북도 앞 바다에서 표류하여 일본의 시마네현에 표류하여 다음 해 4월 대마도를 통해 부산의 동래로 귀환한 기록이 있음
낭도,역사와 문화,대표 인물 및 설화,전설/설화,낭도에 전해져 내려오는 전설이나 옛날이야기를 해줘.,특별히 전해오는 전설은 없음
낭도,생활과 민속,생활 문화,의식주,과거 낭도 주민들의 의식주 생활은 어땠어?,
낭도,생활과 민속,생활 문화,방언,낭도에서만 사용하는 독특한 방언이나 표현이 있어?,특별한 방언이나 표현은 없음
낭도,생활과 민속,생활 문화,향토 음식,낭도 사람들이 즐겨 먹는 향토 음식이 있다면 소개해 줘.,"지금은 다른 지역에서도 많이 먹지만 과거에는 양태찜, 새우볶음, 보리죽 등이 향토음식으로 많이 먹었고 최근에는 젓샘막걸리가 유명세를 타면서 낭도주민들과 관광객들에게 많이 팔리고 있음"
낭도,생활과 민속,신앙 및 의례,전통 풍습,낭도에서 전통적으로 내려오는 마을 제사나 풍습이 있어?,여산마을에서 당산제를 지냈으나 최근에는 인구 감소와 노령화 예산 부족 등으로 지내지 않고 있음
낭도,생활과 민속,신앙 및 의례,민간신앙,섬 주민들의 민간신앙에는 어떤 것들이 있어?,"금오도와 비슷하다. 과거 고기잡이가 성행할 때는 배를 가진 선주들은 매월 그믐과 보름에 뱃고사를 모시고, 고기를 잡기 위해 출항할 때 출항고사를 지냈다. "
낭도,주요 자원 및 현황,관광 자원,추천 여행지,낭도로 여행 가면 꼭 가봐야 할 곳 3곳만 추천해 줘.,"상산, 낭도해수욕장, 낭도둘레길(주상절리)"
낭도,주요 자원 및 현황,관광 자원,둘레길,낭도 둘레길' 코스는 어떻게 구성되어 있어?,"크게 4개 코스로 구성되어 있고, 1코스는 낭도중학교에서 산타바오거리(약 50분), 2코스는 산타바오거리에서 역기미삼거리(약 60분), 3코스는 역기미삼거리에서 규포선착장(약 40분)이며 상산을 오르는 등산로가 있다."
낭도,주요 자원 및 현황,관광 자원,체험 활동,낭도에서 즐길 수 있는 체험 활동이 있어?,"낭만낭도어촌체험휴양마을로 조성하여 낭도중학교 야영장에서 야영장 체험, 낚시체험 등을 할 수 있음 "
낭도,주요 자원 및 현황,당면 과제,현안,낭도가 현재 겪고 있는 가장 큰 어려움은 뭐야?,인구감소와 노령화
낭도,주요 자원 및 현황,미래 전망,발전 계획,낭도의 발전을 위해 어떤 계획들이 추진되고 있어?,2026세계섬박람회를 맞아 관광지로서의 이미지 구축
낭도,주요 자원 및 현황,미래 전망,전망,낭도의 미래 전망에 대해 어떻게 생각해?,"거의 대부분의 섬이 그렇지만 노령화와 인구감소로 인해 어려움이 많아 귀어와 귀촌을 장려하는 한편, 관광지로서의 이미지를 구축해야만 함"
둔병도,섬의 개요,기본 정보,이름 유래,둔병도라는 이름은 어디서 유래했어?,마을 앞 작은섬과의 사이 갯벌에 썰물이 되면 생기는 둠벙(웅덩이의 여수방언)이 있어 생겨난 이름
둔병도,섬의 개요,기본 정보,이름 유래,둔병도는 왜 둔병도라고 불리게 된 거야?,"둠벙성을  이두식 한자 표기인 둠방도(豆音方島, 斗音方島 두음방도로 쓰나 이두식 표기로는 '음'을 받침 'ㅁ'으로 읽어 둠방도이다)로 표기하다가 돌산군 설립 이후 한자화하면서 둔병도로 하였다"
둔병도,섬의 개요,기본 정보,행정구역,둔병도의 행정구역상 주소는 어떻게 돼?,여수시 화정면 둔병리
둔병도,섬의 개요,기본 정보,면적,둔병도의 전체 면적은 얼마야?,0.809㎢
둔병도,섬의 개요,지리적 위치,위치,둔병도의 지리적 위치에 대해 설명해 줘.,여수시와 고흥군 사이에 위치하며 여자만 입구에 있는 작은 섬이다
둔병도,섬의 개요,지리적 위치,주변 환경,둔병도 주변에는 어떤 섬들이 있어?, 섬 주위에는 낭도·조발도·적금도로 둘러싸여 있다.
둔병도,섬의 개요,지리적 위치,주변 환경,둔병도에서 가장 가까운 육지는 어디야?,여수시 화양면과 고흥군 영남면 중간에 위치하나 화양면과 조금 더 가깝다.
둔병도,섬의 개요,교통 및 접근성,선박 정보,둔병도에 들어가려면 어떻게 해야 해?,연륙연도교 건립 후 버스나 자동차를 이용해 들어갈 수 있다.
둔병도,섬의 개요,교통 및 접근성,선박 정보,여수에서 둔병도로 가는 배편 정보를 알려줘.,여객선 태평양1호가 여수여객선터미널에서 매주 화요일마다 오후 2시에 출발하여 4시 10분에 둔뎡도에 입항한다.   
둔병도,섬의 개요,교통 및 접근성,소요 시간,둔병도까지 배로 얼마나 걸려?,2시간 10분 정도 걸림
둔병도,섬의 개요,교통 및 접근성,섬 내 교통,둔병도 내의 주요 교통수단은 뭐야?,"둔병도는 섬이 작아서 주민들은 걸어다니고 있으며, 연륙연도교 개통 이후에는 자동차나, 오토바이, 전동차 등으로 이동"
둔병도,자연환경,지형 및 지질,지형 특징,둔병도의 지형적 특징은 뭐야?,"둔병도는 화정면의 남서쪽에 있으며, 남쪽을 제외한 해변은 자연해안 경관을 유지하고 있다. 남쪽의 섬과는 교량으로 연결되어 있고, 둔병항에서 둔병마을회관을 지나 남쪽의 우측의 곶까지 석축을 쌓아 해안도로가 만들어져 있다. "
둔병도,자연환경,지형 및 지질,최고점,둔병도에서 가장 높은 곳은 어디야?,둔병산(기꼽은산=깃대를 꽂은 산)으로 해발 114미터이다
둔병도,자연환경,지형 및 지질,해안선,둔병도의 해안선은 어떤 특징을 가지고 있어?,"북-남동해안은 해안선이 복잡한 암석해안을 이루는 반면에 만입하는 남서해안은 넓은 간석지가 발달한다. 큰섬과 작은섬 2개의 섬으로 나누어졌으나 다리를 놓아 연결되었다. 해안을 따라 괴상 노두가 발달하였으며, 풍화혈(tafoni) 분포 빈도가 높은 편이다. 둔병도의 북동쪽의 2개의 곶 사이에 형성된 만의 조간대에 펄 퇴적물이 쌓여 형성된 펄갯벌이 있다. 만 입구에서 매립을 위해 방조제를 건설하였으나, 일부 구간이 훼손되어 있다. 북쪽 해안에 뻗은 3개의 곶(串)사이의 만(灣)에 소규모의 몽돌해변이 형성되어 있다. "
둔병도,자연환경,지형 및 지질,해수욕장,둔병도에 있는 대표적인 해수욕장 이름이 뭐야?,둔병도에는 해수욕장이 없다.
둔병도,자연환경,생태계,식물상,둔병도에는 어떤 식물들이 주로 서식해? 대표적인 식물 군락이 있어?,"화정면의 다른 섬과 비슷한 식물들이 자생하나 둔병도의 주요 식생 중에서 인근의 다른 섬과 큰 특징을 보이는 것은 굴피나무가 많다는 것이다. 갈잎넓은잎 수종인 상동나무와 사스레피나무, 느릅나무가 생태 우점한다. 봄에 열매를 먹을 수 있는 보리수나무도 군데군데 형성되어 군락을 이루고 있다. 특히 당집 주변은 소나무나 곰솔이 다른 나무들과 비교해서 비율이 10%가 되지 않는 것이 큰 특징이다. 
다만 섬의 다른 지역은 인근의 섬들에 비해 소나무가 아직은 많이 남아 있다. 상록넓은잎나무는 송악군락이 형성되어 있고 특이하게 사철나무 자생 개체도 보인다. "
둔병도,자연환경,생태계,동물상,둔병도에서 볼 수 있는 동물에는 무엇이 있어?,"인근의 섬들과 거의 차이가 없으며 도룡뇽, 청개구리, 두꺼 등 양서류와 도마뱀, 누룩뱀, 쇠살모사 등 파충류, 메뚜기 나비 등 곤충류, 왜가리 조롱이, 까치 등 조류, 고라니 고양이, 멧돼지 등 포유류가 서식함"
둔병도,자연환경,생태계,해양 생물,둔병도 주변 바다의 해양 생태계는 어때? 어떤 어종이 주로 잡혀?,"둔병도 주변 조하대 조사결과 총 56종이 출현하였으며, 유형동물 1종, 척삭동물 1종, 환형동물 36종, 연체동물 6종, 절지동물 8종, 극피동물 4종으로 구성되어 있다. 해조류는 조간대에서 가시파래, 잎파래, 구멍갈파래, 꼬시래기, 지충이, 김, 불등가사리, 풀가사리, 미역, 괭생이모자반, 톳 등이 주로 관찰되었다. 해초류는 총 3종이 출현하였으며, 일명 잘피라고 불리는 거머리말은 섬 남쪽 만과 북쪽 만에서 다수 발견되었으며, 애기거머리말과 포기거머리말이 일부 발견되었는데 이들은 둔병을 기준으로 남쪽에 주로 분포하였다,"
둔병도,자연환경,생태계,생태계 특징,둔병도의 생태계가 다른 섬과 구별되는 특별한 점이 있다면 알려줘.,"둔병도에는 해조류인 톳의 생산량이 많았으며, 종묘용으로 생산하여 적금도나 고흥 팔영 또는 여수 등으로 운송하여 판매되었다고 한다."
둔병도,인문·사회 환경,인구 및 마을,인구 수,현재 둔병도에는 몇 명 정도 살고 있어?,둔병도는 2020년 1월 기준으로 주민등록상 25세대 39명이 살고 있다.
둔병도,인문·사회 환경,인구 및 마을,마을 정보,둔병도에 있는 주요 마을 이름과 그 유래를 알려줘.,"둔병도에는 둔병마을 1개 마을만 있다. 임진왜란 당시 성명미상의 성주배씨(星州裵氏)가 순천에서 난을 피하기 위해 은신처로 처음 입도하였다. 그 후 전주이씨(全州李氏), 김해김씨(金海金氏), 인동장씨(仁同張氏) 순으로 입도하였으며, 입도 시조인 성주배씨의 후손들이 지금도 거주하고 있다. "
둔병도,인문·사회 환경,인구 및 마을,인구 구성,"둔병도의 인구 구성(연령, 성별)은 어때?","2020년 1월 기준 남자 18명, 여자 21명으로 여자가 조금 더 많다. 실제로 거주하는 사람들은 이보다 적다"
둔병도,인문·사회 환경,주요 산업 및 경제,주요 생업,둔병도 주민들은 주로 어떤 일을 하면서 살아?,"어업과 농업에 주로 종사하고 있으며, 노령화로 방풍농사를 많이 짓는다."
둔병도,인문·사회 환경,주요 산업 및 경제,주요 산업,"둔병도의 주된 산업은 어업이야, 아니면 농업이야?",고령화로 인해 농사를 짓는 사람이 조금 더 많다.
둔병도,인문·사회 환경,주요 산업 및 경제,특산물,둔병도에서 나는 대표적인 특산물은 뭐야?,"과거에는 고구마가 주 생산품이었고, 겨울엔 보리가 주종이었다. 최근에는 주로 방풍농사를 하고 있으며, 어업은 주로 통발과 주낙을 이용한 문어와 낚지, 낚시어업으로 감성돔, 도다리, 볼락, 노래미, 쏨뱅이, 농어, 장어, 숭어 등이 잡힌다."
둔병도,인문·사회 환경,공공 및 편의시설,주요 시설,둔병도 안에 학교나 병원이 있어?,둔병도에는 병원은 물론 보건진료소 조차 없다. 1960년 낭도국민학교 둔병분교장이 개교하였으나 1996년 2월 폐교하였다.
둔병도,인문·사회 환경,공공 및 편의시설,공공기관,"마을회관, 파출소 같은 공공시설은 어디에 위치해?",마을회관은 둔병마을 중앙 바닷가 인근(화정면 둔병도길 29)에 위치하고 있다.
둔병도,역사와 문화,역사적 연혁,역사,둔병도의 역사에 대해 시대순으로 설명해 줘.,"삼국시대의 둔병도는 백제에 편입되어 삽평군 예하의 돌산현에 속한 섬이었다. 5세기 중반에 이르면서가야국이 남원과 섬진강 하류지방에 진출함에 따라 일시적으로 대가야에 편입되었다. 이때의 여수지역은 도서지역이 하다리현으로 둔병도는 하다리현에 속하였다.
통일신라시대에 둔병도는 여산현에 속하였고, 고려시대의는 돌산현에 속하엿다.
조선시대에는 순천부 소속이었으나 실제로는 돌산포만호진의 통제하에 있다가 중종 때 돌산포만호진이 혁파되고, 방답첨사진이 설진됨에 따라 고종32년(1895) 전라좌수영이 혁파될 때까지 전라좌수영이 통제를 받게 되었다.
고종 33년 (1896) 2월 3일 칙령 제13호에 의하여 화정면은 화개면과 옥정면으로 분리되어 설치되었는데 둔병도는 옥정면에 속하였다. 돌산군은 1914년 3월 1일, 18년 만에 폐군되었고, 여수군으로 통합되면서 화개면과 옥정면도 합면이 되어 화정면이 되어 둔병도 역시 화정면 소속이 되었다. 1949년 여수군이 여수시로 승격되면서 여수군 화정면에 속하였다가 1998년 3여 통합으로 여수시 화정면에 속한다. 
"
둔병도,역사와 문화,역사적 연혁,문헌 기록,옛날 문헌이나 지도에 둔병도에 대한 기록이 남아있어?,"1530년에 편찬된 『신증동국여지승람』과 17세기 중엽에 저술된『동국여지지』및 1765년 경 8도의 읍지를 수집하여 편찬한『여지도서』에는 “둔도(屯島)는 백야곶의 서쪽에 있다.”라고 기록되어 있다. 『영남호남연해형편도』에서는 두음방도(豆音方島)라고도 하였다. 한편, 1860년대에 제작된 『대동지지(大東地志)』에 대화도(大花島), 소화도(小花島), 낭도 등과 함께 두음방도(豆音方島)라는 섬의 이름이 보인다. “이 섬들은 모두 백야곶의 서남쪽에 있다.”라고 기록하고 있어 두음방도가 현재의 ‘둔병도’라고 볼 수 있다."
둔병도,역사와 문화,역사적 연혁,주요 사건,둔병도에서 과거에 있었던 중요한 사건이 있다면 알려줘.,"둔병도는 작은 섬이라 특별한 기록은 없지만 신문기사에 의하면 1968년 여름 화정면 인근에 가뭄이 들어 특히 멸치어장에는 민물이 바다에 흐르지 못해 멸치가 연안에 접근하지 않아 어획고가 30%나 감소하였고, 식수난은 더욱 심각하여 우물샘이 바닥나 둔병도와 조발도 등 섬마을주민들은 해상 5마일 떨어진 육지인 벌교와 돌산까지 가서 식수를 구해와 먹어야만 했다."
둔병도,역사와 문화,대표 인물 및 설화,전설/설화,둔병도에 전해져 내려오는 전설이나 옛날이야기를 해줘.,"둔병도에서 동쪽으로 250m 지점에 홍창도, 또는 홍도라 부르는 섬이 있는데 이 섬에는 옛날에 홍학이 노래를 부르면서 신선들과 놀았다는 전설이 전해지고 있다."
둔병도,생활과 민속,생활 문화,향토 음식,둔병도 사람들이 즐겨 먹는 향토 음식이 있다면 소개해 줘.,인근의 낭도와 비슷함
둔병도,생활과 민속,신앙 및 의례,전통 풍습,둔병도에서 전통적으로 내려오는 마을 제사나 풍습이 있어?,"둔병마을에서는 음력 정월 대보름 자시에 당제를 모셨으나, 최근에는 음력 1월 14일 밤 10시경에 마을 뒷산 중턱에 있는 당집에서 ‘당산제’ 혹은 ‘산신제’를 모시고 있다. 음력 정월 보름 오전 11시경 마을 앞 바닷가에 물이 가득 찰 때 하당제(용왕제, 헌식)를 모신다. "
둔병도,생활과 민속,신앙 및 의례,민간신앙,섬 주민들의 민간신앙에는 어떤 것들이 있어?,금오도와 비슷하다.
둔병도,주요 자원 및 현황,관광 자원,추천 여행지,둔병도로 여행 가면 꼭 가봐야 할 곳 3곳만 추천해 줘.,섬이 작아 특별한 관광지가 없음
둔병도,주요 자원 및 현황,당면 과제,현안,둔병도가 현재 겪고 있는 가장 큰 어려움은 뭐야?,노령화와 인구감소
조발도,섬의 개요,기본 정보,이름 유래,조발도라는 이름은 어디서 유래했어?,지형이 모두 경사지로 되어있어 이웃주민들 간에는 삐뚤이 동내라고 부름
조발도,섬의 개요,기본 정보,이름 유래,조발도는 왜 조발도라고 불리게 된 거야?,해가 뜨면 섬 전체를 일찍 밝게 비추어 준다고 해서 ‘일찍 조(早)’자 ‘쏠 발(發)’자를 써 조발리라고 부른다.
조발도,섬의 개요,기본 정보,행정구역,조발도의 행정구역상 주소는 어떻게 돼?,여수시 화정면 조발리
조발도,섬의 개요,기본 정보,면적,조발도의 전체 면적은 얼마야?,1.052㎢
조발도,섬의 개요,지리적 위치,위치,조발도의 지리적 위치에 대해 설명해 줘.,여수시와 고흥군 사이에 위치하며 여자만 입구에 있는 작은 섬이다. 동북쪽으로 화양면 공진곶이 있다. 
조발도,섬의 개요,지리적 위치,주변 환경,조발도 주변에는 어떤 섬들이 있어?,"서쪽으로 둔병도와 적금도가 위치하며, 남쪽에 낭도와 사도가 있다. 남동쪽에는 상계도와 상화도가 있다."
조발도,섬의 개요,지리적 위치,주변 환경,조발도에서 가장 가까운 육지는 어디야?,여수시 화양면
조발도,섬의 개요,교통 및 접근성,선박 정보,조발도에 들어가려면 어떻게 해야 해?,연륙연도교 건립 후 버스나 자동차를 이용해 들어갈 수 있다.
조발도,섬의 개요,교통 및 접근성,선박 정보,여수에서 조발도로 가는 배편 정보를 알려줘.,조발도는 현재 정기여객선이 다니지 않는다.
조발도,섬의 개요,교통 및 접근성,섬 내 교통,조발도 내의 주요 교통수단은 뭐야?,"조발도는 마을에 경사가 심해 자동차 보다는 오토바이나 전동차 등을 이용해 마을 안에서 이동하고, 마을 위에 도로까지 버스가 운행함"
조발도,자연환경,지형 및 지질,지형 특징,조발도의 지형적 특징은 뭐야?,조발도는 북서에서 남동으로 뻗어 있는 좁고 긴 지형을 이루고 있으며 섬 중앙부를 잇는 산능선을 따라 사면경사가 매우 급하다. 계곡부를 따라 테일러스(talus) 지형이 발달하였다.
조발도,자연환경,지형 및 지질,최고점,조발도에서 가장 높은 곳은 어디야?,상산 171.2m
조발도,자연환경,지형 및 지질,해안선,조발도의 해안선은 어떤 특징을 가지고 있어?,조발도의 남쪽에 조발도길 아래 해변에 잔자갈과 큰 자갈들이 쌓여 형성된 몽돌해변(역빈)으로 동서로 길게 펼쳐져 있으나 조간대는 짧은 해변이다.
조발도,자연환경,생태계,식물상,조발도에는 어떤 식물들이 주로 서식해? 대표적인 식물 군락이 있어?,"조발도에 자생하는 상록넓은잎수종은 구실잣밤나무, 생달나무, 후박나무, 동백나무, 참식나무, 사스레피나무, 마삭줄, 모람 등이 출현한다. 주요 식생은 소사나무와 서어나무가 섬 전체적으로 서식하고 있다. 부분적으로 산정부에 아직도 곰솔군락이 많이 형성되어 있다. "
조발도,자연환경,생태계,동물상,조발도에서 볼 수 있는 동물에는 무엇이 있어?,"인근의 낭도와 비슷하며 도롱뇽, 개구리 등 양서파충류, 도마뱀, 쇠살모사 등 파충류, 잠자리 등 곤충류, 왜가리 등 조류, 고라니, 멧돼지 등 포유류가 분포한다."
조발도,자연환경,생태계,해양 생물,조발도 주변 바다의 해양 생태계는 어때? 어떤 어종이 주로 잡혀?,"조발도 주변 조하대 조사결과 총 43종이 출현하였으며 자포동물 1종, 유형동물 1종, 환형동물 22종, 연체동물 5종, 절지동물 12종, 극피동물 2종으로 구성되어 있다다.  해조류는 조간대에서 가시파래, 잎파래, 구멍갈파래, 꼬시래기, 지충이, 김, 불등가사리, 풀가사리, 미역, 괭생이모자반, 톳 등이 주로 관찰되었다. 해초류는 잘피라고 불리는 거머리말이 선착장 앞에서 다수 발견되었다.
주 생산 어종은 쏨뱅이, 농어 등이다. 또한 톳, 미역 등의 해조류와 전복, 바지락, 성게, 해삼, 새꼬막, 키조개, 피조개, 바지락 등이 주로 생산된다. "
조발도,자연환경,생태계,생태계 특징,조발도의 생태계가 다른 섬과 구별되는 특별한 점이 있다면 알려줘.,"2001년에는 조발도 어장의 일정 해역을 지정해, 입어료를 내고 수중사냥 등의 체험할 수 있는 유어장을 만들기도 했다."
조발도,인문·사회 환경,인구 및 마을,인구 수,현재 조발도에는 몇 명 정도 살고 있어?,조발도는 2020년 1월 기준으로 주민등록상 18세대 27명이 살고 있어서 화정면의 유인도 중에서 가장 사람이 적게 산다.
